price,short_description,color,image_source,general_description,size,material,manufacturer_location,manufacturer_name,manufacturer_address,manufacturer_num_workers,brand
$19.99,Oversized Cotton Shirt,White,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fd5%2F75%2Fd5756ed277853c0a85ebf184da7f527fb33d9168.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Oversized shirt in airy, woven cotton fabric. Collar, buttons at front, and yoke at back. Open chest pocket, dropped shoulders, and long sleeves with button at cuffs. Rounded hem, slightly longer at back.",FitOversized,CompositionCotton 100%,Bangladesh,VERTEX WEAR LTD.,"Varari, Tetuljhora, Rajfulbaria, Hemayetpur, savar, 1340, Dhaka",3501-4000,H&M
$14.99,Cotton Shirt,White,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fb1%2F65%2Fb1657d8dbdcae6c389dd5e105a53da6c734fd6c7.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Shirt in airy cotton fabric with a collar, buttons at front, and long sleeves with button at cuffs. Rounded hem.",,CompositionCotton 100%,Bangladesh,BABYLON GARMENTS LIMITED,"2-B/1, DARUSSALAM ROAD, MIRPUR, 1216, DHAKA.",1501-2000,H&M
$29.99,Wide Smocked-waist Blouse,White,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F36%2F25%2F36253f2e7e9ec4a0f6d589210f5ef039e853971c.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Wide-cut blouse in woven cotton fabric with wide smocking at waist. Collar, buttons at front, and wide balloon sleeves with long, close-fitting cuffs with two buttons. Gently flared lower section with rounded hem.",,"CompositionElastic section: Polyester 58%, Elastane 42%Shell: Cotton 100%",India,GOKALDAS EXPORTS LTD,"NH 206, HINDISKERE GATE, 572201, TIPTUR",501-1000,H&M
$19.99,Cotton Shirt,Khaki green/black checked,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F7f%2F32%2F7f3297adc12f69f02aa58d5d7642a007ebff1aed.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Straight-cut shirt in woven cotton fabric. Collar, buttons at front, open chest pocket, and yoke at back with pleat. Long sleeves with button at cuffs. Rounded hem, slightly longer at back.",,CompositionCotton 100%,Bangladesh,ABONI FASHIONS LTD.,"Plot # 23-24, Union # Tetulzhora,, Hemayetpur Savar, 1340, Dhaka.",3001-3500,H&M
$29.99,Tie-front Blouse,Light pink/black,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F49%2Fa0%2F49a0daeb1471ef5086079a2c4c02e4a10b271c80.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_blouses%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Blouse in woven fabric. Collar with ties, buttons at front, and yoke at back with box pleat. Long puff sleeves with a slit and button at cuffs. Rounded hem. Polyester content is partly recycled.",,CompositionPolyester 100%,Indonesia,NOBLAND INTERNATIONAL INC,"Jl. Soekarno Hatta Km. 30 ,, Randugunting Bergas Semarang, 50552, Kabupaten Semarang",1001-1500,H&M
$34.99,Broderie anglaise blouse,Blue,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F5c%2F8c%2F5c8c8ce51554a4fda737161231af3c7f9d301247.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Blouse in an airy cotton weave with broderie anglaise sections. Round neckline, an opening and button at the back of the neck and a V-shaped yoke at the front trimmed with a flounce that continues over the shoulders. Long, wide sleeves with narrow ties at the cuffs.",FitLoose fit,CompositionCotton 100%,India,CTA APPARELS PVT LTD,"D-235, Sector 63,, 201309, Noida",1501-2000,H&M
$49.99,Tie-detail Blouse,White,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fe0%2F0a%2Fe00a94bd8d43a3c632cdecec6fc4fc06a3408565.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_blouses%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Straight-cut blouse in woven viscose fabric. Collar with contrasting ties around neck. Buttons at front, inset lace trim, and button at cuffs.",,CompositionViscose 100%,China,YUNHAN INTERNATIONAL (HK) LIMITED,"Chuangye Road,Yuxing Industry Zone, Yu an District, 231400, Lu an",101-500,H&M
$29.99,Oversized Cotton Shirt,Black,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F90%2F79%2F90797cc2b4e40e1c25d40d8cdd8d609d50ed997b.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Oversized shirt in woven cotton fabric. Collar, buttons at front, and large chest pocket. Dropped shoulders and long sleeves with buttons at cuffs. Rounded hem.",FitOversized,CompositionCotton 100%,China,GOLD STAR FASHION LIMITED,"Liulou Town Government Area, Wensha, Jining City, Shandong Province, China, 272505, Jining",101-500,H&M
$14.99,Cotton Shirt,Pink/white striped,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F4c%2Fe9%2F4ce9b91b74ca3437b127e52ca8cee13bedcc5bce.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Shirt in airy cotton fabric with a collar, buttons at front, and long sleeves with button at cuffs. Rounded hem.",,CompositionCotton 100%,Bangladesh,EPIC DESIGNERS LTD.,"SFB # 08 Dhaka EPZ, (Extension Area), Gonok Bari, Savar, 1349, Dhaka",1001-1500,H&M
$29.99,Pleated-layer Shirt,White,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F56%2F83%2F568372890eb9021877adf0e61a931e9afb8d173c.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shirtsblouses_shirts%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],"Shirt in woven fabric. Pleated layer at top with overlocked edge. Collar, buttons at front, and long sleeves with buttons at cuffs.",,CompositionPolyester 100%,China,"ZHEJIANG TONGLI CLOTHING CO.,LTD","No. 90, Zengshan Road, Xicheng Industrial Zone, 322100, Dongyang",1501-2000,H&M
